Model,VIN,Level,Brand,Series,LaunchYr,LaunchMo,MSRP,Mileage,Accident,PurchasedDate,Insurance,Renovation,Cost,SalesPrice
逍客 逍客 2.0 无级 XV 雷 两驱,LGBL2AE04BS036019,CDN0820C0050,日产,逍客,2011,1,180800,73712,No,2015/4/16,,880,99920,112000
逍客 逍客 2.0 无级 XV 雷 两驱,LGBL2AE02BS071397,CDN0820C0050,日产,逍客,2011,1,180800,30245,No,2015/5/18,8685,260,104140,116000
锌� 逍客 2.0 无级 XV 雷 两驱,LGBL2AE01CS108344,CDN0820C0067,日产,逍客,2012,4,180800,58204,No,2015/5/21,710,2320,102080,116000
逍客 逍客 2.0 无级 XV 雷 两驱,LGBL2AE00DS154586,CDN0820C0075,日产,逍客,2012,4,180800,11906,No,2015/6/5,,800,117100,131000
逍客 逍客 2.0 无级 XV 雷 两驱,LGBL2AE01DS138350,CDN0820C0075,日产,逍客,2012,4,180800,10028,No,2015/6/8,700,160,119540,133000
逍客 逍客 2.0 无级 XV 雷 两驱,LGBL2AE01CS108344,CDN0820C0062,日产,逍客,2011,1,180800,60952,No,2015/6/24,55916,2560,90140,103000
逍客 逍客 2.0 无级 XV 雷 两驱,LGBL2AE01DS138350,CDN0820C0075,日产,逍客,2012,4,180800,10043,No,2015/6/30,1570,320,118480,132000
逍客 逍客 2.0 无级 XV 雷 两驱,LGBL2AE09EY17764P,CDN0820C0080,日产,逍客,2012,4,180800,1750,No,2015/7/4,,640,136430,152300
迈锐宝 迈锐宝 2.0 手自一体 SE 豪华版,LSGGG54Y0CS286114,CGX0820A0003,雪佛兰,迈锐宝,2012,2,179900,9191,No,2015/1/31,4240,800,104500,117000
索纳塔 第八代索纳塔 2.0 手自一体 领先型,LBEYFAKC1DY207807,CBH0120A0091,现代,索纳塔,2013,4,179900,22309,No,2015/3/25,,1780,108920,123000
索纳塔 第八代索纳塔 2.0 手自一体 GLS 领先型,LBEYFAKC2BY058496,CBH0120A0067,现代,索纳塔,2011,4,179900,59818,No,2015/6/8,8880,640,98360,110000
索纳塔 第八代索纳塔 2.0 手自一体 领先型,LBEYFAKC7DY240620,CBH0120A0091,现代,索纳塔,2013,4,179900,32285,No,2015/6/30,1450,640,105560,118000
迈锐宝 迈锐宝 2.0 手自一体 SE 豪华版,LSGGG54Y2DS056625,CGX0820A0008,雪佛兰,迈锐宝,2012,2,179900,38700,No,2015/7/3,,3300,104700,120000
凯美瑞 凯美瑞 骏瑞 2.0 手自一体 S 耀动版,LVGBH51K6CG034158,CGT0120A0062,丰田,凯美瑞,2011,12,179800,70856,No,2015/1/31,4000,1160,115840,130000
凯美瑞 凯美瑞 2.0 手自一体 E 精英版,LVGBH51K5DG145169,CGT0120A0074,丰田,凯美瑞,2013,3,179800,32450,No,2015/2/1,,880,129620,145000
蒙迪欧 蒙迪欧致胜 2.3 手自一体 时尚型,LVSHBFAF3BF154787,CCF0223A0070,福特,蒙迪欧,2011,3,179800,139181,No,2015/2/7,5748,0,82800,92000
蒙迪欧 蒙迪欧 1.5T 手自一体 GTDi180 舒适型,LVSHFFAL0DF639367,CCF0215A0001,福特,蒙迪欧,2013,8,179800,127,No,2015/2/27,,0,145800,162000
马自达6 马自达6 2.0 手自一体 时尚版,LFPH4ABC191A19350,CMZ0120A0036,马自达,马自达6,2008,7,179800,92107,No,2015/3/28,,320,65380,73000
蒙迪欧 蒙迪欧致胜 2.3 手自一体 时尚型,LVSHBFAF9AF130718,CCF0223A0059,福特,蒙迪欧,2009,11,179800,111490,No,2015/4/24,1800,320,71680,80000
蒙迪欧 蒙迪欧致胜 2.3 手自一体 时尚型,LVSHBFAF6AF128425,CCF0223A0059,福特,蒙迪欧,2009,11,179800,43258,No,2015/5/5,1085,1260,78840,89000
K5 K5 2.0 手自一体 GLS,LJDKAA244B0008342,CFZ1120A0003,起亚,K5,2011,3,179800,66354,No,2015/5/5,4881,1380,90420,102000
速腾 速腾 2.0 手动 舒适版,LFV3A11K563003542,CFV0520M0001,大众,速腾,2006,4,179800,126347,No,2015/5/6,,900,38700,44000
马自达6 马自达6 2.0 手动,LFPH4ABC281A94489,CMZ0120M0011,马自达,马自达6,2007,4,179800,87309,No,2015/5/11,8560,5180,43420,54000
帕萨特 帕萨特 领驭 2.0MFI 自动 尊享版,LSVE449F192621609,CSV0220A0019,大众,帕萨特,2009,4,179800,73143,No,2015/5/17,,360,80640,90000
马自达6 马自达6 睿翼 2.0 手自一体 精英版,LFPM4ACP6C1A53503,CMZ0220A0013,马自达,马自达6,2012,5,179800,43858,No,2015/6/15,3030,930,101670,114000
途安 途安 1.8T 手动 5座智尊版,LSVRE21T892301126,CSV0518M0022,大众,途安,2008,1,179800,134396,No,2015/6/16,13110,1760,63940,73000
马自达6 马自达6 2.0 手自一体 时尚版,LFPM4ACC3D1A62500,CMZ0120A0061,马自达,马自达6,2012,8,179800,23455,No,2015/6/27,1400,2420,87580,100000
马自达6 马自达6 睿翼 2.0 手自一体 精英版,LFPM4ACP1D1A00712,CMZ0220A0025,马自达,马自达6,2012,5,179800,49340,No,2015/7/1,13400,2340,102960,117000
马自达6 马自达6 2.0 手自一体 时尚版,LFPM4ACC7A1E04333,CMZ0120A0049,马自达,马自达6,2008,7,179800,68879,No,2015/7/3,1900,4440,67560,80000
君威 君威 2.0 手自一体 领先时尚型,LSGGA54YXEH264882,CGB0420A0044,别克,君威,2013,9,178900,11188,No,2015/5/25,,320,132880,148000
智跑 智跑 2.0 手自一体 GL 两驱,LJDJAA141C0105822,CFZ1020A0013,起亚,智跑,2011,11,178800,50944,No,2015/6/14,4020,1450,106550,120000
宝来 宝来 1.8 自动 舒适版,LFVBA21J343036383,CFV0218A0011,大众,宝来,2001,1,178000,103048,No,2015/6/14,2550,2300,13900,18000
思域 思域 1.8 自动 VTi 五周年纪念版,LVHFA164885052264,CDH0218A0020,本田,思域,2008,7,177800,104772,No,2015/5/10,4630,2250,58950,68000
思域 思域 1.8 自动 VTi 豪华版,LVHFA164X75029163,CDH0218A0010,本田,思域,2006,4,177800,76683,No,2015/6/18,6000,1270,46430,53000
昂科拉 昂科拉 1.4T 手自一体 GL 都市领先型,LSGJB8423DY088093,CGB1014A0005,别克,昂科拉,2012,10,176900,61423,No,2015/2/8,7057.5,640,116360,130000
思域 思域 1.8 自动 VTi-S 尊贵版,LVHFA1659B5026627,CDH0218A0038,本田,思域,2009,1,176800,39075,No,2015/6/21,3980,1100,72700,82000
思域 思域 2.0 自动 TYPE-S,LVHFB3654C5000365,CDH0220A0004,本田,思域,2011,10,175800,35025,No,2015/2/1,16797.28,1400,94000,106000
君威 君威 2.0 手动 G 舒适版,LSGWG52Z17S057275,CGB0420M0011,别克,君威,2006,5,175800,150000,No,2015/5/4,9785,1000,26900,31000
高尔夫 高尔夫 1.6 自动 舒适版,LFVBB21JX43016192,CFV0316A0004,大众,高尔夫,2003,8,175300,85918,No,2015/5/11,,2220,26580,32000
750 750S 1.8T 自动 迅雅版,LSJW16G31BJ010056,CRW0118A0038,荣威,750,2011,5,174800,57355,No,2015/6/2,,1640,39760,46000
英朗 英朗GT 1.6T 手自一体 时尚运动版,LSGPB54E8AS114785,CGB0916A0003,别克,英朗,2010,6,174300,31280,No,2015/4/27,4974,1260,75240,85000
狮跑 狮跑 2.0 手动 GLS 两驱,LJDFAA149A0105571,CFZ0720M0026,起亚,狮跑,2010,8,173800,108165,No,2015/2/7,2266,840,72060,81000
GS5 GS5 1.8T 手自一体 两驱豪华版,LMGDG1G53C1000040,CGC0218A0003,传祺,GS5,2013,1,173800,23090,No,2015/2/11,2200,0,76500,85000
杰德 杰德 1.8 无级 VTi 豪华尊享版5座,LVHFR1837E6001390,CDH0518C0012,本田,杰德,2014,9,173800,3869,No,2015/3/10,10100,280,130220,145000
速腾 速腾 2.0 手动 时尚版,LFV3A11K463015374,CFV0520M0002,大众,速腾,2006,4,173800,135813,No,2015/5/7,6237,1960,43040,50000
御轩 御轩 2.5 自动 7座豪华型,LJNMEV1N4BN064343,CZF0325A0019,东风风度,御轩,2009,6,172800,61501,No,2015/6/27,,1660,43340,50000
C4 C4L 1.8 手自一体 劲驰版,LDCC23Y4XD1500484,CDC0318A0003,雪铁龙,C4,2013,4,171900,12830,No,2015/1/30,26770,320,107680,120000
帕萨特 帕萨特 领驭 1.8T 手动 标准版,LSVD249F9B2433914,CSV0218M0026,大众,帕萨特,2007,4,171800,158952,No,2015/7/1,15050,10400,61600,80000
英朗 英朗XT 1.6T 手自一体 时尚运动版,LSGPB64E7ED102949,CGB0916A0080,别克,英朗,2013,12,171500,790,No,2015/2/28,,0,120600,134000
英朗 英朗XT 1.6T 手自一体 时尚运动版,LSGPB64E7ED102949,CGB0916A0080,别克,英朗,2013,12,171500,1269,No,2015/4/30,,0,120600,134000
M6 M6 2.0 手动 尊贵型,LGXC14CG6B1128575,CBY0820M0008,比亚迪,M6,2010,12,170800,96382,No,2015/5/8,40363,1980,39420,46000
迈锐宝 迈锐宝 2.0 手自一体 SL 舒适版,LSGGG54Y1CS120202,CGX0820A0002,雪佛兰,迈锐宝,2012,2,169900,26111,No,2015/1/31,,24120,70380,105000
迈锐宝 迈锐宝 2.0 手自一体 SL 舒适版,LSGGG54Y6CS273691,CGX0820A0002,雪佛兰,迈锐宝,2012,2,169900,157399,No,2015/2/1,2653,320,85180,95000
C4 C4L 1.6THP 手自一体 智驱版劲智型,LDCC23147E1835200,CDC0316A0010,雪铁龙,C4,2013,11,169900,2197,No,2015/2/26,,540,110160,123000
福克斯 福克斯-三厢 2.0 双离合 旗舰型,LVSHCFDC1EE511733,CCF0320D0006,福特,福克斯,2012,4,169900,3809,No,2015/3/2,,160,123140,137000
迈锐宝 迈锐宝 2.0 手自一体 SL 舒适版,LSGGG54Y6ES230519,CGX0820A0015,雪佛兰,迈锐宝,2014,3,169900,12824,No,2015/5/11,3700,1000,107900,121000
C4 C4L 1.6THP 手自一体 智驱版劲智型,LDCC23147E1851168,CDC0316A0010,雪铁龙,C4,2013,11,169900,4247,No,2015/6/8,,640,108260,121000
福克斯 福克斯-三厢 2.0 双离合 旗舰型,LVSHCFDC1EE511733,CCF0320D0006,福特,福克斯,2012,4,169900,5438,No,2015/7/3,,160,109640,122000
途胜 途胜 2.0 手动 两驱时尚型,LBEJMBJB0AX223228,CBH0320M0041,现代,途胜,2008,10,169800,124119,No,2015/1/31,4500,8460,63540,80000
速腾 速腾 1.4TSI 双离合 豪华版,LFV2A21K7B3090775,CFV0514D0009,大众,速腾,2010,11,169800,106225,No,2015/2/1,,1160,93340,105000
途胜 途胜 2.0 手动 两驱时尚型,LBEJMBJB2BX263554,CBH0320M0047,现代,途胜,2008,10,169800,249648,No,2015/2/27,,800,64900,73000
途胜 途胜 2.0 手动 两驱时尚型,LBEJMBJB9BX280979,CBH0320M0047,现代,途胜,2008,10,169800,42837,No,2015/3/7,,788,82912,93000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349F9A2584400,CSV0220M0027,大众,帕萨特,2009,4,169800,16479,No,2015/3/9,,280,84320,94000
途胜 途胜 2.0 手动 GL两驱时尚型,LBEJMBJB4EX401177,CBH0320M0066,现代,途胜,2013,3,169800,10269,No,2015/3/10,,310,103190,115000
帕萨特 帕萨特 领驭 2.0MFI 手动 鹣戆�,LSVE349F5A2641112,CSV0220M0027,大众,帕萨特,2009,4,169800,109468,No,2015/3/14,2745,830,84670,95000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349F6A2618132,CSV0220M0027,大众,帕萨特,2009,4,169800,138085,No,2015/3/21,2400,870,84630,95000
速腾 速腾 1.4TSI 双离合 蓝驱版,LFV2A21KXD4020345,CFV0514D0018,大众,速腾,2012,11,169800,38878,No,2015/3/26,,920,107440,120400
途胜 途胜 2.0 手动 两驱时尚型,LBEJMBJB66X035398,CBH0320M0005,现代,途胜,2006,2,169800,148826,No,2015/4/8,3593,260,49240,55000
速腾 速腾 1.4TSI 双离合 蓝驱版,LFV2A21K5D4073440,CFV0514D0018,大众,速腾,2012,11,169800,24535,No,2015/4/13,,560,99340,111000
途胜 途胜 2.0 手动 两驱时尚型,LBEJMBJB6BX255599,CBH0320M0047,现代,途胜,2008,10,169800,121320,No,2015/4/16,,1080,70920,80000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349FX92359642,CSV0220M0022,大众,帕萨特,2009,4,169800,101446,No,2015/5/7,,1360,75140,85000
睿骋 睿骋 1.8T 手自一体 旗舰型,LS5A2DEW4DJ100294,CCA0918A0003,长安,睿骋,2013,4,169800,33992,No,2015/5/17,1950,880,75620,85000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349FXA2626623,CSV0220M0027,大众,帕萨特,2009,4,169800,59411,No,2015/5/21,,1080,82620,93000
狮跑 狮跑 2.0 手自一体 GL 两驱,LJDFAA14490055528,CFZ0720A0013,起亚,狮跑,2009,4,169800,83976,No,2015/5/22,4740,2220,58080,67000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349F7A2666397,CSV0220M0027,大众,帕萨特,2009,4,169800,187925,No,2015/5/24,1879,1960,71840,82000
帕萨特 帕萨特 领驭 2.0 手动 尊享型,LSVE349F8B2438278,CSV0220M0032,大众,帕萨特,2011,1,169800,65805,No,2015/5/26,1180,1800,91800,104000
睿骋 睿骋 1.8T 手自一体 旗舰型,LS5A2DEW4DJ100294,CCA0918A0003,长安,睿骋,2013,4,169800,34266,No,2015/5/26,1950,880,75620,85000
途胜 途胜 2.0 手动 GL两驱时尚型,LBEJMBJB8DX357067,CBH0320M0062,现代,途胜,2013,3,169800,98206,No,2015/5/28,,620,84880,95000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349F192363496,CSV0220M0022,大众,帕萨特,2009,4,169800,99204,No,2015/5/31,3900,2900,73600,85000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349F792346900,CSV0220M0022,大众,帕萨特,2009,4,169800,151527,No,2015/6/2,10340,1620,72180,82000
途胜 途胜 2.0 手动 两驱时尚型,LBEJMBJB37X069963,CBH0320M0010,现代,途胜,2006,2,169800,72827,No,2015/6/5,5500,1280,48220,55000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349F892793316,CSV0220M0022,大众,帕萨特,2009,4,169800,92693,No,2015/6/6,3062,2020,77180,88000
途胜 途胜 2.0 手动 两驱时尚型,LBEJMBJB5AX210605,CBH0320M0041,现代,途胜,2008,10,169800,97328,No,2015/6/15,,1760,65740,75000
途胜 途胜 2.0 手动 GL两驱时尚型,LBEJMBJB8DX348403,CBH0320M0062,现代,途胜,2013,3,169800,50921,No,2015/6/16,,2100,84300,96000
帕萨特 帕萨特 领驭 2.0 手动 尊享型,LSVE349F7B2449711,CSV0220M0032,大众,帕萨特,2011,1,169800,22956,No,2015/6/17,6341,5600,82600,98000
赛纳 赛纳 2.0 手动 标准型,LDC761W2050165450,CSX0420M0005,雪铁龙,赛纳,2003,4,169800,78599,No,2015/6/20,29419,5270,8230,15000
帕萨特 帕萨特 领驭 2.0MFI 手动 尊享版,LSVE349F1B2435433,CSV0220M0030,大众,帕萨特,2009,4,169800,61324,No,2015/6/25,4901,2080,89720,102000
蒙迪欧 蒙迪欧致胜 2.0 手动 舒适型,LVSHBFMC9AF103049,CCF0220M0018,福特,蒙迪欧,2009,11,169800,93895,No,2015/6/26,7869,1940,58360,67000
途胜 途胜 2.0 手动 两驱时尚型,LBEJMBJB8CX317179,CBH0320M0052,现代,途胜,2008,10,169800,10655,No,2015/7/1,,1540,79460,90000
毕加索 毕加索 1.6 手动 8V发动机,LDC818E2X30002766,CSX0216M0003,雪铁龙,毕加索,2001,9,169800,264459,No,2015/7/4,510,1460,6640,9000
明锐 明锐 1.8TSI 双离合 逸俊版,LSVNS41Z6A2723181,CSS0118D0002,斯柯达,明锐,2010,4,169000,84716,No,2015/6/12,5194,1740,69360,79000
蓝鸟 蓝鸟 智尊 2.0 自动 豪华型,LGBC1AE055Y702146,CDN0120A0035,日产,蓝鸟,2004,8,168800,356156,No,2015/6/1,,7020,1980,10000
思域 思域 1.8 自动 VTi 豪华版,LVHFA165295031744,CDH0218A0026,本田,思域,2009,1,167800,82050,No,2015/4/9,9440,620,68680,77000
轩逸 轩逸 2.0 无级 XL 科技天窗版,LGBH1AE02AY117783,CDN0420C0082,日产,轩逸,2009,4,167800,66381,No,2015/5/1,4460,1200,61800,70000
速腾 速腾 1.4TSI 双离合 豪华版,LFV2A21K2D4241311,CFV0514D0022,大众,速腾,2012,3,167800,14516,No,2015/5/29,,320,113980,127000
速腾 速腾 1.4TSI 双离合 豪华型,LFV2A21K4E4066822,CFV0514D0034,大众,速腾,2013,9,167800,20600,No,2015/6/16,,360,129240,144000
思域 思域 1.8 手动 VTi 五周年纪念版,LVHFA152985050149,CDH0218M0020,本田,思域,2008,7,167800,203805,No,2015/6/24,3710,3680,44020,53000
思域 思域 1.8 自动 VTi 豪华版,LVHFA1650A5054265,CDH0218A0033,本田,思域,2009,1,167800,74500,No,2015/6/29,,9580,48920,65000
朗逸 朗逸 1.4TSI 双离合 豪华导航版,LSVND6183CN017087,CSV0614D0016,大众,朗逸,2012,8,166900,51849,No,2015/4/4,500,320,107680,120000
卡罗拉 卡罗拉 1.8 自动 GLX-i,LFMARE0C380117534,CFT0718A0023,丰田,卡罗拉,2007,5,166800,68107,No,2015/2/15,2000,1040,51160,58000
桑塔纳 桑塔纳2000 1.8 手动 GSi 时代骄子,LSVHH133632214701,CSV0118M0103,大众,桑塔纳,2002,6,166800,30300,No,2015/5/31,800,4670,4330,10000
高尔夫 高尔夫6 1.4TSI 双离合 豪华版,LFV2B21K3B3285396,CFV0314D0008,大众,高尔夫,2010,9,166800,89088,No,2015/6/12,4700,1000,96200,108000
高尔夫 高尔夫6 1.4TSI 双离合 豪华版,LFV2B21K3B3285396,CFV0314D0008,大众,高尔夫,2010,9,166800,89393,No,2015/6/21,4700,1000,95750,107500
桑塔纳 桑塔纳2000 1.8 手动 GSi 时代骄子,LSVHH133632214701,CSV0118M0103,大众,桑塔纳,2002,6,166800,30573,No,2015/6/22,800,4670,3880,9500
高尔夫 高尔夫6 1.4TSI 双离合 豪华版,LFV2B21K2B3254222,CFV0314D0008,大众,高尔夫,2010,9,166800,49582,No,2015/7/4,1656,3100,86900,100000
B70 B70 2.3 手自一体 豪华型,LFPH5ABC381A41989,CBE0123A0018,奔腾,B70,2008,1,165800,38203,No,2015/5/3,38325,1920,36780,43000
索纳塔 御翔 2.0 手动 舒适型,LBENFAJB27X018217,CBH0120M0025,现代,索纳塔,2007,3,165800,329081,No,2015/5/13,4651,1930,32270,38000
英朗 英朗GT 1.8 手自一体 时尚版,LSGPB54R8ED081137,CGB0918A0021,别克,英朗,2012,9,165300,2710,No,2015/2/26,,0,117000,130000
英朗 英朗GT 1.8 手自一体 时尚版,LSGPB54R2ED099360,CGB0918A0021,别克,英朗,2012,9,165300,1882,No,2015/2/28,,0,112500,125000
英朗 英朗GT 1.8 手自一体 真皮款时尚版,LSGPB54R5BS140930,CGB0918A0006,别克,英朗,2011,5,165300,49500,No,2015/3/23,,320,83380,93000
英朗 英朗GT 1.8 手自一体 真皮款时尚版,LSGPB54R5BS140930,CGB0918A0006,别克,英朗,2011,5,165300,50013,No,2015/4/12,1650,320,82930,92500
逍客 逍客 2.0 无级 XL 火 两驱,LGBL2AE02BS049531,CDN0820C0049,日产,逍客,2011,1,164800,36356,No,2015/3/7,,320,80680,90000
智跑 智跑 2.0 手动 GL 两驱,LJDJAA142C0108244,CFZ1020M0007,起亚,智跑,2011,11,164800,66282,No,2015/6/1,20800,650,96550,108000
逍客 逍客 2.0 无级 XL 火 两驱,LGBL2AE04CS079535,CDN0820C0061,日产,逍客,2011,1,164800,29944,No,2015/6/22,,1660,94640,107000
408 408 2.0 手自一体 影音导航版,LDC943X38C2764082,CSP0420A0014,标致,408,2012,5,164600,25817,No,2015/1/30,,640,80360,90000
凯旋 凯旋 2.0 手动 精英型,LDCC43X2070538603,CSX0520M0005,雪铁龙,凯旋,2006,10,163800,113784,No,2015/5/3,11005,1680,23520,28000
凯旋 凯旋 2.0 手动 精英型,LDCC43X2270703082,CSX0520M0007,雪铁龙,凯旋,2006,10,163800,129076,No,2015/5/16,7127,1440,29160,34000
凯旋 凯旋 2.0 手动 精英型,LDCC43X2270703082,CSX0520M0007,雪铁龙,凯旋,2006,10,163800,129504,No,2015/5/22,7127,1800,28800,34000
凯旋 凯旋 2.0 手动 精英型,LDCC43X2X70691117,CSX0520M0007,雪铁龙,凯旋,2006,10,163800,122813,No,2015/5/24,7630,980,29620,34000
福克斯 福克斯-两厢 2.0 双离合 豪华运动型,LVSHCADC4CE055551,CCF0320D0001,福特,福克斯,2012,4,162900,18010,No,2015/5/22,,160,101540,113000
福克斯 福克斯-两厢 2.0 双离合 豪华运动型,LVSHCADC1CE008476,CCF0320D0001,福特,福克斯,2012,4,162900,30139,No,2015/6/23,39400,1400,88600,100000
福克斯 福克斯-两厢 2.0 双离合 豪华运动型,LVSHCADC9CE015918,CCF0320D0001,福特,福克斯,2012,4,162900,52478,No,2015/6/30,2250,1400,90400,102000
凯越 凯越旅行车 1.8 自动 LS 豪华版,LSGJV82P96H042437,CGB0518A0015,别克,凯越,2005,11,162800,90813,No,2015/2/27,4950,1170,23130,27000
景程 景程 2.0 自动 SX 豪华版,LSGVV54Z79Y079814,CGX0220A0021,雪佛兰,景程,2008,3,162800,162364,No,2015/5/23,4680,1560,37140,43000
朗逸 朗逸 1.4TSI 双离合 运动版,LSVAD2185A2456863,CSV0614D0002,大众,朗逸,2010,3,162800,84200,No,2015/6/4,15040,1600,67700,77000
X8 X8 2.5T 手动 四驱超豪华型,LVXCCDKA1AL004850,CLW0625M0008,陆风,X8,2009,9,161800,61720,No,2015/6/18,750,1720,40580,47000
宝来 宝来 1.6 手动 基本版,LFVBA11J633043451,CFV0216M0003,大众,宝来,2002,1,161000,119251,No,2015/6/23,36380,5520,9780,17000
朗逸 朗逸 1.4TSI 双离合 豪华版,LSVND6187DN052328,CSV0614D0023,大众,朗逸,2012,8,160900,35568,No,2015/2/7,1640,320,126580,141000
朗逸 朗逸 1.4TSI 双离合 豪华版,LSVND6186C2193777,CSV0614D0015,大众,朗逸,2012,8,160900,30414,No,2015/5/13,2420,860,110740,124000
轩逸 轩逸 2.0 无级 XL 科技版,LGBH1AE08BY155259,CDN0420C0085,日产,轩逸,2009,4,160800,43916,No,2015/1/31,,320,74380,83000
昂科拉 昂科拉 1.4T 手自一体 两驱都市精英型,LSGJB84J4EY086782,CGB1014A0014,别克,昂科拉,2013,11,159900,33850,No,2015/4/4,,100,116900,130000
昂科拉 昂科拉 1.4T 手自一体 两驱都市精英型,LSGJB84J4EY056553,CGB1014A0014,别克,昂科拉,2013,11,159900,30219,No,2015/4/21,4795,260,112240,125000
昂科拉 昂科拉 1.4T 手自一体 两驱都市精英型,LSGJB84J4EY086782,CGB1014A0014,别克,昂科拉,2013,11,159900,12345,No,2015/4/30,,100,116900,130000
昂科拉 昂科拉 1.4T 手自一体 两驱都市精英型,LSGJB84J4EY086782,CGB1014A0014,别克,昂科拉,2013,11,159900,33708,No,2015/4/30,,100,116900,130000
帕拉丁 帕拉丁 2.4 手动 XE 两驱标准型,LJNMEW1G5CN003852,CZN0324M0126,日产,帕拉丁,2008,1,159800,83929,No,2015/2/8,5800,640,70460,79000
狮跑 狮跑 2.0 手动 GL 两驱,LJDFAA145C0237715,CFZ0720M0040,起亚,狮跑,2011,10,159800,91018,No,2015/3/30,2356,560,84940,95000
逸致 逸致 1.8 无级 180E 星耀精英版,LVGDL25R2CG021520,CGT0418C0031,丰田,逸致,2013,9,159800,55979,No,2015/5/10,10220,1200,87900,99000
狮跑 狮跑 2.0 手动 GL 两驱,LJDFAA140C0213466,CFZ0720M0040,起亚,狮跑,2011,10,159800,68000,No,2015/5/24,1690,1040,76360,86000
K5 K5 2.0 手动 GL,LJDKAA246D0116447,CFZ1120M0004,起亚,K5,2012,3,159800,26554,No,2015/6/1,1600,480,96720,108000
狮跑 狮跑 2.0 手动 GL 两驱,LJDFAA147B0163468,CFZ0720M0034,起亚,狮跑,2010,8,159800,186015,No,2015/6/3,5810,1520,60580,69000
狮跑 狮跑 2.0 手动 GL 两驱,LJDFAA14690047527,CFZ0720M0013,起亚,狮跑,2009,4,159800,57832,No,2015/6/5,7427,1604,55096,63000
卡罗拉 卡罗拉 1.8 无级 PREMIUM 至高版,LFMAR80C9E0401683,CFT0718C0037,丰田,卡罗拉,2014,6,159800,5914,No,2015/6/9,,0,112500,125000
瑞风 瑞风II和畅 2.0T 手动 商务版,LJ16AA341B7100464,CJC0120M0058,江淮,瑞风,2011,4,159800,85530,No,2015/7/1,1800,3870,51930,62000
C4 C4L 1.8 手自一体 智驱版劲智版,LDCC23Y43E1832235,CDC0318A0010,雪铁龙,C4,2013,11,158900,12614,No,2015/1/31,,0,126000,140000
菲翔 菲翔 1.4T 双离合 尊享版,LWVAA2581EA087364,CGF0114D0013,菲亚特,菲翔,2012,9,158800,12179,No,2015/5/22,,480,113820,127000
菲翔 菲翔 1.4T 双离合 尊享版,LWVAA2581EA087364,CGF0114D0013,菲亚特,菲翔,2012,9,158800,12250,No,2015/5/23,,480,113820,127000
408 408 2.0 手自一体 豪华版,LDC943X40D1613947,CDP0220A0005,标致,408,2012,10,157900,16322,No,2015/4/23,,1860,80940,92000
C4 C4L 1.8 手自一体 劲智版,LDCC23Y43E1832235,CDC0318A0007,雪铁龙,C4,2013,4,157900,17000,No,2015/5/28,800,700,116300,130000
C4 C4L 1.8 手自一体 劲智版,LDCC23Y43E1832235,CDC0318A0007,雪铁龙,C4,2013,4,157900,17476,No,2015/6/11,1600,700,114500,128000
思域 思域 1.8 自动 VTi 豪华版,LVHFB2672C5014437,CDH0218A0045,本田,思域,2011,10,157800,28178,No,2015/2/1,24021.1,840,95460,107000
思域 思域 1.8 自动 VTi 豪华版,LVHFB267XE5004144,CDH0218A0074,本田,思域,2014,6,157800,1097,No,2015/2/7,,640,124460,139000
思域 思域 1.8 自动 EXi 五周年纪念版,LVHFA162185012929,CDH0218A0017,本田,思域,2008,7,157800,110966,No,2015/4/22,,1350,51750,59000
思域 思域 1.8 自动 EXi 经典版,LVHFA162065038614,CDH0218A0001,本田,思域,2006,4,157800,107594,No,2015/5/15,8405,1360,48140,55000
思域 思域 1.8 自动 VTi 豪华版,LVHFB2678D6009805,CDH0218A0053,本田,思域,2011,10,157800,25409,No,2015/5/22,,930,106170,119000
杰德 杰德 1.8 自动 EXi 舒适精英版5座,LVHFR1815E6054376,CDH0518A0010,本田,杰德,2014,9,157800,33612,No,2015/5/25,1900,280,124370,138500
速腾 速腾 2.0 手动 时尚版,LFV3A11K573054735,CFV0520M0007,大众,速腾,2006,4,157800,88813,No,2015/5/30,3895,780,46920,53000
花冠 花冠 1.8 手动 GLX-i,LFMAC22C870807520,CFT0618M0030,丰田,花冠,2005,1,157800,210052,No,2015/6/11,1923,1480,29120,34000
花冠 花冠 1.8 手动 GLX-i,LFMAC22C160795001,CFT0618M0018,丰田,花冠,2005,1,157800,56898,No,2015/6/20,,1880,33220,39000
花冠 花冠 1.8 手动 GLX-i,LFMAC22C870807520,CFT0618M0030,丰田,花冠,2005,1,157800,211306,No,2015/6/23,1573,2570,27580,33500
思域 思域 1.8 自动 VTi 豪华版,LVHFB267XE5004144,CDH0218A0074,本田,思域,2014,6,157800,1949,No,2015/6/30,,640,116360,130000
杰德 杰德 1.8 自动 EXi 舒适精英版5座,LVHFR1814F6016414,CDH0518A0016,本田,杰德,2014,9,157800,7512,No,2015/7/1,,320,122980,137000
